species,atom1,atom2,wiberg_bond_order,bond_length
Ac5_rdkit_conf_1,16,3,0.0013,2.7172627671842857
Ac5_rdkit_conf_1,16,4,0.0002,2.6387268788432805
Ac5_rdkit_conf_1,16,5,0.0003,4.014787507384544
Ac5_rdkit_conf_1,17,3,0.0010,2.741346252157323
Ac5_rdkit_conf_1,17,4,0.0002,2.803897207193766
Ac5_rdkit_conf_1,17,5,0.0002,3.934020004602163
Ac5_rdkit_conf_1,18,3,0.0021,1.8738172462086584
Ac5_rdkit_conf_1,18,4,0.0044,2.2694668773465274
Ac5_rdkit_conf_1,18,5,0.7330,0.9677658640849034
Ac5_rdkit_conf_1,19,3,0.0004,2.6768445589398726
Ac5_rdkit_conf_1,19,4,0.0005,2.7669712076160096
Ac5_rdkit_conf_1,19,5,0.0003,3.4848383760858983
Ac5_rdkit_conf_1,20,3,0.0000,4.876068108061249
Ac5_rdkit_conf_1,20,4,0.0001,5.14430922585511
Ac5_rdkit_conf_1,20,5,0.0000,5.280203548740995
Ac5_rdkit_conf_1,21,3,0.0000,6.034325267446809
Ac5_rdkit_conf_1,21,4,0.0000,6.70425481827988
Ac5_rdkit_conf_1,21,5,0.0000,6.141172686150259
Ac5_rdkit_conf_1,22,3,0.0002,5.663230749075125
Ac5_rdkit_conf_1,22,4,0.0001,6.6489198915505066
Ac5_rdkit_conf_1,22,5,0.0000,5.606691554293405
Ac5_rdkit_conf_1,23,3,0.0003,3.9399190227465333
Ac5_rdkit_conf_1,23,4,0.0002,5.048149750528603
Ac5_rdkit_conf_1,23,5,0.0000,3.9641872917869305
Ac5_rdkit_conf_2,3,0,0.0085,2.519122499555351
Ac5_rdkit_conf_2,3,1,0.9265,1.5266419096602188
Ac5_rdkit_conf_2,3,2,0.0137,2.436776631599417
Ac5_rdkit_conf_2,4,0,0.0116,3.5897585914123806
Ac5_rdkit_conf_2,4,1,0.0526,2.434744909158658
Ac5_rdkit_conf_2,4,2,0.0136,3.2651289161272024
Ac5_rdkit_conf_2,4,3,1.7871,1.197271002049661
Ac5_rdkit_conf_2,5,0,0.0025,2.7463915731557655
Ac5_rdkit_conf_2,5,1,0.0155,2.3857529065370544
Ac5_rdkit_conf_2,5,2,0.0033,2.9698036556223713
Ac5_rdkit_conf_2,5,3,1.0340,1.349959698655112
Ac5_rdkit_conf_2,5,4,0.1506,2.2260906816708976
Ac5_rdkit_conf_2,6,3,0.0065,2.4909040766314146
Ac5_rdkit_conf_2,6,4,0.0039,2.81785123039631
Ac5_rdkit_conf_2,6,5,0.0069,3.673360380637598
Ac5_rdkit_conf_2,7,3,0.0100,3.6390337367253136
Ac5_rdkit_conf_2,7,4,0.0016,3.8493610200855413
Ac5_rdkit_conf_2,7,5,0.0004,4.826156591018572
Ac5_rdkit_conf_2,8,3,0.0002,4.782865973968432
Ac5_rdkit_conf_2,8,4,0.0004,4.779657610459561
Ac5_rdkit_conf_2,8,5,0.0002,6.03807083527363
Ac5_rdkit_conf_2,9,3,0.0027,5.055809746307706
Ac5_rdkit_conf_2,9,4,0.0003,4.9047423062098785
Ac5_rdkit_conf_2,9,5,0.0002,6.3218957983365245
Ac5_rdkit_conf_2,10,3,0.0006,4.298485224396264
Ac5_rdkit_conf_2,10,4,0.0011,4.135982076090998
Ac5_rdkit_conf_2,10,5,0.0003,5.49046038015921
Ac5_rdkit_conf_2,11,3,0.0051,2.982660082242192
Ac5_rdkit_conf_2,11,4,0.0016,3.021507413816488
Ac5_rdkit_conf_2,11,5,0.0012,4.129653241826244
Ac5_rdkit_conf_2,12,3,0.0010,2.777882998599653
Ac5_rdkit_conf_2,12,4,0.0003,3.682342468656602
Ac5_rdkit_conf_2,12,5,0.0002,2.9961645862271986
Ac5_rdkit_conf_2,13,3,0.0010,2.7838323641047427
Ac5_rdkit_conf_2,13,4,0.0002,3.9644533651485925
Ac5_rdkit_conf_2,13,5,0.0003,2.478485442608046
