species,atom,npa_charge,wiberg_total,nmr_shielding,cm5_charge,hirshfeld_charge,ox_npa_charge,ox_cm5_charge,ox_hirshfeld_charge,red_npa_charge,red_cm5_charge,red_hirshfeld_charge,fukui_plus,fukui_minus,fukui_rad
Ac3,8,-0.32122,1.0333,239.8121,-0.133159,-0.111509,-0.28583,-0.095101,-0.073452,-0.34238,-0.158006,-0.136357,-0.024848,-0.0380569999999999,0.0132089999999999
Ac4,8,0.7849111152770882,3.8413890948762988,4.29883991024408,0.2634746281688104,0.20792242999978974,0.7562132992424464,0.2780053444047608,0.2224535473746238,0.6912111039990156,0.16984276936570622,0.11429094978248731,-0.09363148021730237,-0.014531117374833966,-0.07910036284246835
Ac7,8,-0.32518580844563894,3.2972733444271984,129.2817240049931,-0.13079297218988215,-0.04112227792174594,-0.3171657902637565,-0.10623447992631298,-0.01656378565817678,-0.34125686723230086,-0.15550309025655104,-0.06583239598841487,-0.024710118066668833,-0.02455849226356916,-0.00015162580309977707
Ac2,9,0.786854021536455,3.8309249380649,-1.8074672415643074,0.1842245363707304,0.14791177771386108,0.5203614168872767,0.19235477187119407,0.15604138163568826,0.29539834961320766,0.030318791666318835,-0.005994598569186976,-0.15390637628304804,-0.008129603921827103,-0.14577677236122089
Ac5,9,-0.21402172268439404,3.9639435884873957,39.186721138766444,-0.09960315695738331,-0.043527121893044536,0.05078518359425803,0.05595004144646985,0.11202539047695045,-0.3801867684260108,-0.21115003092827517,-0.15507465084249014,-0.11154752894944552,-0.15555251236999498,0.04400498342054937
Ac7,9,0.4941367588160548,0.7592219925678216,26.034261896007624,0.35730248782812374,0.1795774508622126,0.5254605646725813,0.4071222254555655,0.22939689207251296,0.4565185926058353,0.3059878650036919,0.12826282803778072,-0.051314622824431874,-0.04981944121030031,-0.0014951816141315713
Ac4,9,-0.6009193728976749,2.0080175420951374,-122.49723252876572,-0.3376868992695449,-0.28584566829537994,-0.5272153066916643,-0.2794149406205707,-0.2275741107852893,-0.7298399264923032,-0.4485818308451771,-0.39674157731793025,-0.11089590902255028,-0.05827155751009061,-0.052624351512459616
Ac3,9,-0.32121,1.0333,239.6429,-0.133207,-0.111567,-0.28578,-0.09511,-0.07347,-0.34239,-0.158075,-0.136435,-0.024868,-0.038097,0.013229
Ac4,9,-0.6009193728976749,2.0080175420951374,-122.49723252876572,-0.3376868992695449,-0.28584566829537994,-0.5272153066916643,-0.2794149406205707,-0.2275741107852893,-0.7298399264923032,-0.4485818308451771,-0.39674157731793025,-0.11089590902255028,-0.05827155751009061,-0.052624351512459616
Ac2,10,-0.5932982375998543,2.0215555322289216,-136.7589055447184,-0.21904886348470645,-0.18378151880040586,-0.36659441130892484,-0.18866549664246796,-0.15339815195816733,-0.5521360173729545,-0.3658289743209514,-0.3305616296366507,-0.14678011083624484,-0.030383366842238524,-0.11639674399400632
