species,atom,npa_charge,wiberg_total,nmr_shielding,cm5_charge,hirshfeld_charge,ox_npa_charge,ox_cm5_charge,ox_hirshfeld_charge,red_npa_charge,red_cm5_charge,red_hirshfeld_charge
Ac5_rdkit_conf_1,19,0.22118,0.9525,23.7149,0.101593,0.041193,0.25868,0.13966,0.07926,0.18644,0.052529,-0.00787
Ac5_rdkit_conf_1,20,0.21489,0.9547,23.8775,0.100645,0.044508,0.2575,0.142738,0.086601,0.17561,0.039189,-0.016949
Ac5_rdkit_conf_1,21,0.21454,0.9548,23.9985,0.09963,0.043545,0.24573,0.156511,0.100426,0.17508,0.059109,0.003023
Ac5_rdkit_conf_1,22,0.21348,0.9553,23.8438,0.099479,0.043343,0.25488,0.144194,0.088058,0.17398,0.038985,-0.017151
Ac5_rdkit_conf_1,23,0.21519,0.9549,23.7661,0.098519,0.039888,0.25561,0.136301,0.07767,0.17925,0.046655,-0.011977
Ac7_rdkit_conf_3,0,-0.5915,2.0196,-149.8683,-0.341352,-0.290334,-0.1978,-0.050873,0.000144,-0.82114,-0.57003,-0.519012
Ac7_rdkit_conf_3,1,0.80494,3.8245,-6.3302,0.261806,0.212744,0.8146,0.347957,0.298896,0.41782,0.032058,-0.017004
Ac7_rdkit_conf_3,2,-0.69886,1.9494,117.2673,-0.376427,-0.176131,-0.59111,-0.279367,-0.079071,-0.78547,-0.484702,-0.284406
Ac7_rdkit_conf_3,3,-0.32207,3.9681,136.3349,-0.081199,-0.021831,-0.27309,-0.041613,0.017755,-0.29834,-0.108234,-0.048866
Ac7_rdkit_conf_3,4,-0.38931,3.9218,154.7460,-0.155746,-0.049236,-0.3749,-0.125085,-0.018575,-0.40482,-0.178095,-0.071585
Ac7_rdkit_conf_3,4,-0.38931,3.9218,154.7460,-0.155745,-0.049235,-0.3749,-0.125085,-0.018575,-0.40483,-0.178101,-0.071591
Ac7_rdkit_conf_3,5,-0.39486,3.9288,158.8170,-0.15943,-0.049277,-0.37935,-0.128858,-0.018705,-0.40323,-0.178479,-0.068326
Ac7_rdkit_conf_3,5,-0.39486,3.9288,158.8170,-0.15943,-0.049277,-0.37935,-0.128858,-0.018705,-0.40323,-0.178478,-0.068325
Ac7_rdkit_conf_3,5,-0.39486,3.9288,158.8170,-0.15943,-0.049277,-0.37935,-0.128858,-0.018705,-0.40323,-0.178479,-0.068326
Ac7_rdkit_conf_3,5,-0.39486,3.9288,158.8170,-0.15943,-0.049277,-0.37935,-0.128858,-0.018705,-0.40323,-0.178478,-0.068325
Ac7_rdkit_conf_3,6,-0.39588,3.9296,158.5558,-0.161232,-0.050993,-0.40556,-0.142296,-0.032057,-0.39404,-0.17308,-0.06284
Ac7_rdkit_conf_3,5,-0.39486,3.9288,158.8170,-0.15943,-0.049277,-0.37935,-0.128858,-0.018705,-0.40323,-0.178479,-0.068326
Ac7_rdkit_conf_3,5,-0.39486,3.9288,158.8170,-0.15943,-0.049277,-0.37935,-0.128858,-0.018705,-0.40323,-0.178478,-0.068325
Ac7_rdkit_conf_3,5,-0.39486,3.9288,158.8170,-0.15943,-0.049277,-0.37935,-0.128858,-0.018705,-0.40323,-0.178479,-0.068326
Ac7_rdkit_conf_3,5,-0.39486,3.9288,158.8170,-0.15943,-0.049277,-0.37935,-0.128858,-0.018705,-0.40323,-0.178478,-0.068325
Ac7_rdkit_conf_3,4,-0.38931,3.9218,154.7460,-0.155746,-0.049236,-0.3749,-0.125085,-0.018575,-0.40482,-0.178095,-0.071585
Ac7_rdkit_conf_3,4,-0.38931,3.9218,154.7460,-0.155745,-0.049235,-0.3749,-0.125085,-0.018575,-0.40483,-0.178101,-0.071591
Ac7_rdkit_conf_3,9,0.49481,0.7585,26.1909,0.357531,0.179832,0.52584,0.405145,0.227445,0.45666,0.296944,0.119245
Ac7_rdkit_conf_3,10,0.22178,0.9529,29.8444,0.103828,0.039447,0.25632,0.130919,0.066538,0.19277,0.075606,0.011225
Ac7_rdkit_conf_3,11,0.21348,0.9555,30.2151,0.089636,0.033319,0.24731,0.11704,0.060722,0.19774,0.063533,0.007215
Ac7_rdkit_conf_3,11,0.21348,0.9555,30.2151,0.089637,0.033319,0.24731,0.11704,0.060722,0.19772,0.063514,0.007196
Ac7_rdkit_conf_3,11,0.21348,0.9555,30.2151,0.089636,0.033319,0.24731,0.11704,0.060722,0.19774,0.063533,0.007215
Ac7_rdkit_conf_3,11,0.21348,0.9555,30.2151,0.089637,0.033319,0.24731,0.11704,0.060722,0.19772,0.063514,0.007196
Ac7_rdkit_conf_3,12,0.20826,0.9584,30.4898,0.088497,0.02889,0.2312,0.110214,0.050607,0.19098,0.071231,0.011624
Ac7_rdkit_conf_3,12,0.20826,0.9584,30.4898,0.088497,0.02889,0.2312,0.110214,0.050607,0.19098,0.071229,0.011622
Ac7_rdkit_conf_3,12,0.20826,0.9584,30.4898,0.088497,0.02889,0.2312,0.110214,0.050607,0.19098,0.071231,0.011624
Ac7_rdkit_conf_3,12,0.20826,0.9584,30.4898,0.088497,0.02889,0.2312,0.110214,0.050607,0.19098,0.071229,0.011622
Ac7_rdkit_conf_3,13,0.21071,0.9567,30.3054,0.086896,0.032208,0.25702,0.123716,0.069028,0.1764,0.05508,0.000392
Ac7_rdkit_conf_3,13,0.21071,0.9567,30.3054,0.086896,0.032208,0.25702,0.123716,0.069028,0.17642,0.055092,0.000404
Ac7_rdkit_conf_3,13,0.21071,0.9567,30.3054,0.086896,0.032208,0.25702,0.123716,0.069028,0.1764,0.05508,0.000392
Ac7_rdkit_conf_3,13,0.21071,0.9567,30.3054,0.086896,0.032208,0.25702,0.123716,0.069028,0.17642,0.055092,0.000404
Ac7_rdkit_conf_3,14,0.19391,0.9643,30.8753,0.084085,0.028331,0.21653,0.104984,0.04923,0.17713,0.067482,0.011728
Ac7_rdkit_conf_3,14,0.19391,0.9643,30.8753,0.084085,0.028331,0.21653,0.104984,0.04923,0.17713,0.067483,0.011729
Ac7_rdkit_conf_3,15,0.19354,0.9645,30.8330,0.083622,0.027879,0.21254,0.101275,0.045532,0.18194,0.070894,0.01515
Ac7_rdkit_conf_3,16,0.20885,0.9574,30.3620,0.085498,0.030869,0.26265,0.124785,0.070156,0.1814,0.059003,0.004375
Ac7_rdkit_conf_3,13,0.21071,0.9567,30.3054,0.086896,0.032208,0.25702,0.123716,0.069028,0.1764,0.05508,0.000392
Ac7_rdkit_conf_3,13,0.21071,0.9567,30.3054,0.086896,0.032208,0.25702,0.123716,0.069028,0.17642,0.055092,0.000404
Ac7_rdkit_conf_3,13,0.21071,0.9567,30.3054,0.086896,0.032208,0.25702,0.123716,0.069028,0.1764,0.05508,0.000392
Ac7_rdkit_conf_3,13,0.21071,0.9567,30.3054,0.086896,0.032208,0.25702,0.123716,0.069028,0.17642,0.055092,0.000404
Ac7_rdkit_conf_3,14,0.19391,0.9643,30.8753,0.084085,0.028331,0.21653,0.104984,0.04923,0.17713,0.067482,0.011728
Ac7_rdkit_conf_3,14,0.19391,0.9643,30.8753,0.084085,0.028331,0.21653,0.104984,0.04923,0.17713,0.067483,0.011729
Ac7_rdkit_conf_3,11,0.21348,0.9555,30.2151,0.089636,0.033319,0.24731,0.11704,0.060722,0.19774,0.063533,0.007215
Ac7_rdkit_conf_3,11,0.21348,0.9555,30.2151,0.089637,0.033319,0.24731,0.11704,0.060722,0.19772,0.063514,0.007196
Ac7_rdkit_conf_3,11,0.21348,0.9555,30.2151,0.089636,0.033319,0.24731,0.11704,0.060722,0.19774,0.063533,0.007215
Ac7_rdkit_conf_3,11,0.21348,0.9555,30.2151,0.089637,0.033319,0.24731,0.11704,0.060722,0.19772,0.063514,0.007196
Ac7_rdkit_conf_3,12,0.20826,0.9584,30.4898,0.088497,0.02889,0.2312,0.110214,0.050607,0.19098,0.071231,0.011624
Ac7_rdkit_conf_3,12,0.20826,0.9584,30.4898,0.088497,0.02889,0.2312,0.110214,0.050607,0.19098,0.071229,0.011622
Ac7_rdkit_conf_3,12,0.20826,0.9584,30.4898,0.088497,0.02889,0.2312,0.110214,0.050607,0.19098,0.071231,0.011624
Ac7_rdkit_conf_3,12,0.20826,0.9584,30.4898,0.088497,0.02889,0.2312,0.110214,0.050607,0.19098,0.071229,0.011622
Ac4_rdkit_conf_1,0,-0.2566,3.7844,131.1287,-0.113471,0.008936,-0.2876,-0.082223,0.040184,-0.24641,-0.132264,-0.009857
Ac4_rdkit_conf_1,1,-0.44212,2.2082,213.6728,-0.206318,-0.116298,-0.27201,-0.08709,0.002931,-0.45855,-0.225318,-0.135297
