File,atom1,atom2,bonding
Ac5_rdkit_conf_3,21,4,0.0000
Ac5_rdkit_conf_3,21,5,0.0000
Ac5_rdkit_conf_3,22,1,0.0003
Ac5_rdkit_conf_3,22,3,0.0001
Ac5_rdkit_conf_3,22,4,0.0001
Ac5_rdkit_conf_3,22,5,0.0000
Ac5_rdkit_conf_3,23,1,0.0027
Ac5_rdkit_conf_3,23,3,0.0002
Ac5_rdkit_conf_3,23,4,0.0001
Ac5_rdkit_conf_3,23,5,0.0001
Ac7_rdkit_conf_1,1,0,1.7713
Ac7_rdkit_conf_1,2,0,0.1493
Ac7_rdkit_conf_1,2,1,1.0394
Ac7_rdkit_conf_1,3,0,0.0524
Ac7_rdkit_conf_1,3,1,0.9585
Ac7_rdkit_conf_1,3,2,0.0149
Ac7_rdkit_conf_1,4,0,0.0037
Ac7_rdkit_conf_1,4,1,0.0069
Ac7_rdkit_conf_1,4,2,0.0073
Ac7_rdkit_conf_1,4,3,1.0026
Ac7_rdkit_conf_1,5,0,0.0015
Ac7_rdkit_conf_1,5,1,0.0014
Ac7_rdkit_conf_1,5,2,0.0004
Ac7_rdkit_conf_1,5,3,0.0044
Ac7_rdkit_conf_1,6,0,0.0003
Ac7_rdkit_conf_1,6,1,0.0004
Ac7_rdkit_conf_1,6,2,0.0002
Ac7_rdkit_conf_1,6,3,0.0020
Ac7_rdkit_conf_1,7,0,0.0012
Ac7_rdkit_conf_1,7,1,0.0022
Ac7_rdkit_conf_1,7,2,0.0007
Ac7_rdkit_conf_1,7,3,0.0047
Ac7_rdkit_conf_1,8,0,0.0121
Ac7_rdkit_conf_1,8,1,0.0093
Ac7_rdkit_conf_1,8,2,0.0025
Ac7_rdkit_conf_1,8,3,0.9947
Ac7_rdkit_conf_1,9,0,0.0048
Ac7_rdkit_conf_1,9,1,0.0021
Ac7_rdkit_conf_1,9,2,0.7349
Ac7_rdkit_conf_1,9,3,0.0153
Ac7_rdkit_conf_1,10,0,0.0153
Ac7_rdkit_conf_1,10,1,0.0067
Ac7_rdkit_conf_1,10,2,0.0028
Ac7_rdkit_conf_1,10,3,0.8897
Ac7_rdkit_conf_1,11,0,0.0009
Ac7_rdkit_conf_1,11,1,0.0100
Ac7_rdkit_conf_1,11,2,0.0003
Ac7_rdkit_conf_1,11,3,0.0012
Ac7_rdkit_conf_1,12,0,0.0004
Ac7_rdkit_conf_1,12,1,0.0016
Ac7_rdkit_conf_1,12,2,0.0004
Ac7_rdkit_conf_1,12,3,0.0009
Ac7_rdkit_conf_1,13,0,0.0002
Ac7_rdkit_conf_1,13,1,0.0002
Ac7_rdkit_conf_1,13,2,0.0002
Ac7_rdkit_conf_1,13,3,0.0099
Ac7_rdkit_conf_1,14,0,0.0007
Ac7_rdkit_conf_1,14,1,0.0004
Ac7_rdkit_conf_1,14,2,0.0003
Ac7_rdkit_conf_1,14,3,0.0007
Ac7_rdkit_conf_1,15,0,0.0000
Ac7_rdkit_conf_1,15,1,0.0001
Ac7_rdkit_conf_1,15,2,0.0000
Ac7_rdkit_conf_1,15,3,0.0002
Ac7_rdkit_conf_1,16,0,0.0001
Ac7_rdkit_conf_1,16,1,0.0003
Ac7_rdkit_conf_1,16,2,0.0000
Ac7_rdkit_conf_1,16,3,0.0001
Ac7_rdkit_conf_1,17,0,0.0001
Ac7_rdkit_conf_1,17,1,0.0003
Ac7_rdkit_conf_1,17,2,0.0000
Ac7_rdkit_conf_1,17,3,0.0102
Ac7_rdkit_conf_1,18,0,0.0002
Ac7_rdkit_conf_1,18,1,0.0011
Ac7_rdkit_conf_1,18,2,0.0001
Ac7_rdkit_conf_1,18,3,0.0011
Ac7_rdkit_conf_1,19,0,0.0003
Ac7_rdkit_conf_1,19,1,0.0015
Ac7_rdkit_conf_1,19,2,0.0004
Ac7_rdkit_conf_1,19,3,0.0009
Ac7_rdkit_conf_1,20,0,0.0015
Ac7_rdkit_conf_1,20,1,0.0100
Ac7_rdkit_conf_1,20,2,0.0011
Ac7_rdkit_conf_1,20,3,0.0012
Ac5_rdkit_conf_2,1,0,0.9877
Ac5_rdkit_conf_2,2,1,0.9903
Ac5_rdkit_conf_2,3,0,0.0085
Ac5_rdkit_conf_2,3,1,0.9265
Ac5_rdkit_conf_2,3,2,0.0137
Ac5_rdkit_conf_2,4,0,0.0116
Ac5_rdkit_conf_2,4,1,0.0526
Ac5_rdkit_conf_2,4,2,0.0136
Ac5_rdkit_conf_2,4,3,1.7871
Ac5_rdkit_conf_2,5,0,0.0025
Ac5_rdkit_conf_2,5,1,0.0155
Ac5_rdkit_conf_2,5,2,0.0033
Ac5_rdkit_conf_2,5,3,1.0340
Ac5_rdkit_conf_2,5,4,0.1506
Ac5_rdkit_conf_2,6,1,0.9847
Ac5_rdkit_conf_2,6,3,0.0065
Ac5_rdkit_conf_2,6,4,0.0039
Ac5_rdkit_conf_2,6,5,0.0069
Ac5_rdkit_conf_2,7,1,0.0060
Ac5_rdkit_conf_2,7,3,0.0100
Ac5_rdkit_conf_2,7,4,0.0016
Ac5_rdkit_conf_2,7,5,0.0004
Ac5_rdkit_conf_2,8,1,0.0091
Ac5_rdkit_conf_2,8,3,0.0002
Ac5_rdkit_conf_2,8,4,0.0004
Ac5_rdkit_conf_2,8,5,0.0002
Ac5_rdkit_conf_2,9,1,0.0013
Ac5_rdkit_conf_2,9,3,0.0027
