species,atom1,atom2,wiberg_bond_order,bond_length
Ac7_rdkit_conf_3,10,4,0.0025,2.1557165263415317
Ac7_rdkit_conf_3,10,5,0.0011,2.7677737758657233
Ac7_rdkit_conf_3,10,6,0.0001,3.325742652125838
Ac7_rdkit_conf_3,10,7,0.0011,2.7677731577289713
Ac7_rdkit_conf_3,10,8,0.0025,2.1557156459916045
Ac7_rdkit_conf_3,10,9,0.0004,3.95002739959459
Ac7_rdkit_conf_3,11,0,0.0004,3.402189191774908
Ac7_rdkit_conf_3,11,1,0.0012,2.7283136482754324
Ac7_rdkit_conf_3,11,2,0.0002,3.2440949271755284
Ac7_rdkit_conf_3,11,3,0.0008,2.1654757354983225
Ac7_rdkit_conf_3,11,4,0.9260,1.092124569091365
Ac7_rdkit_conf_3,11,5,0.0012,2.166368505458155
Ac7_rdkit_conf_3,11,6,0.0098,3.470606588842072
Ac7_rdkit_conf_3,11,7,0.0002,3.9406687263161313
Ac7_rdkit_conf_3,11,8,0.0099,3.4706395383171094
Ac7_rdkit_conf_3,11,9,0.0001,3.9330140539534053
Ac7_rdkit_conf_3,11,10,0.0011,2.4839311549821583
Ac7_rdkit_conf_3,12,0,0.0003,3.834041645780338
Ac7_rdkit_conf_3,12,1,0.0014,2.7427069703553824
Ac7_rdkit_conf_3,12,2,0.0004,2.612866631715825
Ac7_rdkit_conf_3,12,3,0.0019,2.151273947792331
Ac7_rdkit_conf_3,12,4,0.9212,1.0935874639529295
Ac7_rdkit_conf_3,12,5,0.0021,2.1572100110812116
Ac7_rdkit_conf_3,12,6,0.0009,2.7873626841044565
Ac7_rdkit_conf_3,12,7,0.0001,3.3353309459068674
Ac7_rdkit_conf_3,12,8,0.0008,2.7707217009277563
Ac7_rdkit_conf_3,12,9,0.0000,3.4842877639668344
Ac7_rdkit_conf_3,12,10,0.0130,3.050593670184379
Ac7_rdkit_conf_3,12,11,0.0002,1.760326529122935
Ac7_rdkit_conf_3,13,0,0.0007,5.559819505028378
Ac7_rdkit_conf_3,13,1,0.0007,4.656590927825419
Ac7_rdkit_conf_3,13,2,0.0001,4.972948284477529
Ac7_rdkit_conf_3,13,3,0.0094,3.464039428249915
Ac7_rdkit_conf_3,13,4,0.0011,2.1567773686509693
Ac7_rdkit_conf_3,13,5,0.9263,1.091468858217677
Ac7_rdkit_conf_3,13,6,0.0011,2.1646388511255177
Ac7_rdkit_conf_3,13,7,0.0099,3.4676760507703137
Ac7_rdkit_conf_3,13,8,0.0003,3.9372635512556178
Ac7_rdkit_conf_3,13,9,0.0000,5.855322497315498
Ac7_rdkit_conf_3,13,10,0.0002,3.76270924494798
Ac7_rdkit_conf_3,13,11,0.0015,2.493651028479727
Ac7_rdkit_conf_3,13,12,0.0014,2.482481251234337
Ac7_rdkit_conf_3,14,0,0.0001,4.841307383818239
Ac7_rdkit_conf_3,14,1,0.0002,4.155704616685959
Ac7_rdkit_conf_3,14,2,0.0001,4.910558316199391
Ac7_rdkit_conf_3,14,3,0.0010,2.7786128285029204
Ac7_rdkit_conf_3,14,4,0.0020,2.1515270747415656
Ac7_rdkit_conf_3,14,5,0.9266,1.0950703944422933
Ac7_rdkit_conf_3,14,6,0.0020,2.1523971283239067
Ac7_rdkit_conf_3,14,7,0.0009,2.7905158006714457
Ac7_rdkit_conf_3,14,8,0.0001,3.3506913294878413
Ac7_rdkit_conf_3,14,9,0.0000,5.770714594361256
Ac7_rdkit_conf_3,14,10,0.0004,2.581478673533059
Ac7_rdkit_conf_3,14,11,0.0013,2.477969195284114
Ac7_rdkit_conf_3,14,12,0.0135,3.0564695131378294
Ac7_rdkit_conf_3,14,13,0.0002,1.7556535063078365
Ac7_rdkit_conf_3,15,0,0.0000,5.67372938188534
Ac7_rdkit_conf_3,15,1,0.0000,4.549996175604876
Ac7_rdkit_conf_3,15,2,0.0000,4.541706876749863
Ac7_rdkit_conf_3,15,3,0.0001,3.354760630046352
Ac7_rdkit_conf_3,15,4,0.0009,2.7879305185151226
Ac7_rdkit_conf_3,15,5,0.0019,2.150529819917408
Ac7_rdkit_conf_3,15,6,0.9268,1.0951606225887598
Ac7_rdkit_conf_3,15,7,0.0019,2.150528780593973
Ac7_rdkit_conf_3,15,8,0.0009,2.7879307875531985
Ac7_rdkit_conf_3,15,9,0.0000,5.500225756978526
Ac7_rdkit_conf_3,15,10,0.0002,4.0029442382663785
Ac7_rdkit_conf_3,15,11,0.0001,3.783576388625053
Ac7_rdkit_conf_3,15,12,0.0004,2.608970189846369
Ac7_rdkit_conf_3,15,13,0.0014,2.47351043071037
Ac7_rdkit_conf_3,15,14,0.0138,3.0522173571844453
Ac7_rdkit_conf_3,16,0,0.0000,6.341053950276799
Ac7_rdkit_conf_3,16,1,0.0003,5.386004461030551
Ac7_rdkit_conf_3,16,2,0.0000,5.755208271916056
Ac7_rdkit_conf_3,16,3,0.0002,3.935996453042736
