,File,atom,nbo_charge,nmr_shielding,neut_nat,neut_cm5,neut_mulliken,neut_hirsfeld,ox_nat,ox_cm5,ox_mulliken,ox_hirsfeld,red_nat,red_cm5,red_mulliken,red_hirsfeld
42,Ac5_rdkit_conf_3,17,0.21148,30.5755,0.21148,0.087491,0.154801,0.033387,0.24847,0.117151,0.197678,0.063047,0.17686,0.055582,0.092503,0.001478
43,Ac5_rdkit_conf_3,18,0.49765,26.0092,0.49765,0.360108,0.336128,0.182306,0.51836,0.381892,0.366533,0.20409,0.46853,0.328007,0.287119,0.150205
44,Ac5_rdkit_conf_3,19,0.22256,23.1245,0.22256,0.098201,0.176541,0.036317,0.25962,0.134734,0.233434,0.07285,0.19525,0.063816,0.125656,0.001932
45,Ac5_rdkit_conf_3,20,0.21379,23.8336,0.21379,0.099639,0.143051,0.043486,0.25591,0.141271,0.206428,0.085118,0.17877,0.060352,0.078173,0.0042
46,Ac5_rdkit_conf_3,21,0.21445,23.9984,0.21445,0.099853,0.142765,0.043777,0.24544,0.155923,0.21895,0.099847,0.17779,0.040656,0.072392,-0.01542
47,Ac5_rdkit_conf_3,22,0.21388,23.8748,0.21388,0.099833,0.142061,0.043684,0.2547,0.143884,0.20716,0.087734,0.1784,0.058245,0.076575,0.002096
48,Ac5_rdkit_conf_3,23,0.21753,23.7483,0.21753,0.100008,0.167354,0.041079,0.25677,0.136325,0.225361,0.077396,0.18623,0.065547,0.110445,0.006618
49,Ac5_rdkit_conf_1,0,-0.59926,161.5823,-0.59926,-0.230899,-0.528258,-0.085107,-0.60895,-0.220247,-0.517931,-0.074455,-0.59459,-0.243169,-0.521392,-0.097377
50,Ac5_rdkit_conf_1,1,-0.17443,136.6700,-0.17443,-0.00542,-0.083258,0.012661,-0.20748,0.002143,-0.113864,0.020224,-0.17362,-0.007937,-0.025659,0.010144
51,Ac5_rdkit_conf_1,2,-0.58397,154.5081,-0.58397,-0.230931,-0.39623,-0.08598,-0.58166,-0.210279,-0.378954,-0.065327,-0.58253,-0.24293,-0.411332,-0.097978
52,Ac5_rdkit_conf_1,3,0.81452,-8.5767,0.81452,0.266485,0.332084,0.21433,0.79536,0.273407,0.334107,0.221252,0.80516,0.250849,0.295961,0.198694
53,Ac5_rdkit_conf_1,4,-0.59755,-146.4434,-0.59755,-0.32869,-0.309953,-0.274675,-0.5369,-0.282261,-0.25278,-0.228246,-0.64573,-0.370783,-0.353287,-0.316768
54,Ac5_rdkit_conf_1,5,-0.68799,114.9468,-0.68799,-0.370436,-0.408717,-0.171597,-0.67774,-0.355426,-0.392604,-0.156587,-0.69346,-0.38451,-0.417914,-0.185672
55,Ac5_rdkit_conf_1,6,-0.00022,17.6426,-0.00022,-0.009214,0.144472,0.000688,0.27539,0.113395,0.171192,0.123297,0.01379,-0.04562,0.198501,-0.035719
56,Ac5_rdkit_conf_1,7,-0.21821,37.7753,-0.21821,-0.096311,-0.228953,-0.043274,-0.15987,-0.02258,-0.141195,0.030456,-0.37841,-0.193098,-0.303882,-0.140062
57,Ac5_rdkit_conf_1,8,-0.20038,36.6525,-0.20038,-0.095403,-0.152971,-0.039421,-0.19737,-0.036822,-0.116032,0.019159,-0.38746,-0.212052,-0.300887,-0.15607
58,Ac5_rdkit_conf_1,9,-0.21524,38.9885,-0.21524,-0.09946,-0.152697,-0.043382,0.04632,0.05373,-0.006746,0.109807,-0.19309,-0.15396,-0.1412,-0.097882
59,Ac5_rdkit_conf_1,10,-0.20074,36.6308,-0.20074,-0.096827,-0.145809,-0.040761,-0.15709,-0.023023,-0.091982,0.033043,-0.37828,-0.210156,-0.281969,-0.15409
60,Ac5_rdkit_conf_1,11,-0.21827,42.2679,-0.21827,-0.097227,-0.182618,-0.043073,-0.19493,-0.033232,-0.118788,0.020922,-0.3916,-0.200022,-0.302419,-0.145868
61,Ac5_rdkit_conf_1,12,0.22671,29.8594,0.22671,0.090133,0.188286,0.033131,0.23472,0.101023,0.205882,0.044021,0.22315,0.078079,0.165743,0.021077
62,Ac5_rdkit_conf_1,13,0.2175,30.6599,0.2175,0.090113,0.164963,0.03583,0.24779,0.114611,0.201688,0.060328,0.18901,0.065623,0.12605,0.01134
63,Ac5_rdkit_conf_1,14,0.2122,30.4519,0.2122,0.089124,0.165694,0.035556,0.22319,0.101719,0.185918,0.048152,0.20644,0.076053,0.145791,0.022485
64,Ac5_rdkit_conf_1,15,0.21075,31.2155,0.21075,0.086623,0.156479,0.0332,0.2231,0.101199,0.179507,0.047776,0.20353,0.07458,0.140588,0.021158
65,Ac5_rdkit_conf_1,16,0.22397,29.9606,0.22397,0.08992,0.163226,0.03336,0.23127,0.101639,0.181766,0.045079,0.22489,0.079199,0.14787,0.022639
66,Ac5_rdkit_conf_1,17,0.21564,30.5308,0.21564,0.088734,0.154272,0.034004,0.25589,0.120555,0.200687,0.065824,0.18611,0.064039,0.111763,0.009308
67,Ac5_rdkit_conf_1,18,0.49569,26.1977,0.49569,0.359832,0.335104,0.182046,0.51659,0.381057,0.364878,0.203271,0.47633,0.339371,0.303646,0.161585
68,Ac5_rdkit_conf_1,19,0.22118,23.7149,0.22118,0.101593,0.189984,0.041193,0.25868,0.13966,0.244512,0.07926,0.18644,0.052529,0.126336,-0.00787
69,Ac5_rdkit_conf_1,20,0.21489,23.8775,0.21489,0.100645,0.145025,0.044508,0.2575,0.142738,0.208659,0.086601,0.17561,0.039189,0.068288,-0.016949
